model,group_kind,group_value,total,correct,accuracy,null_prediction,coverage,invalid_formats,missing_format_flag
Ovis2.5-9B-vLLM,overall,ALL,3557,1105,0.3107,0,1.0000,0,0
Ovis2.5-9B-vLLM,category,Algebra,593,196,0.3305,0,1.0000,0,0
Ovis2.5-9B-vLLM,category,Arithmetik,1109,342,0.3084,0,1.0000,0,0
Ovis2.5-9B-vLLM,category,Geometrie,1168,344,0.2945,0,1.0000,0,0
Ovis2.5-9B-vLLM,category,Stochastik,593,190,0.3204,0,1.0000,0,0
Ovis2.5-9B-vLLM,category,unknown,94,33,0.3511,0,1.0000,0,0
Ovis2.5-9B-vLLM,difficulty,A,1172,399,0.3404,0,1.0000,0,0
Ovis2.5-9B-vLLM,difficulty,B,1184,357,0.3015,0,1.0000,0,0
Ovis2.5-9B-vLLM,difficulty,C,1201,349,0.2906,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,overall,ALL,3557,1347,0.3787,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,category,Algebra,593,235,0.3963,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,category,Arithmetik,1109,443,0.3995,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,category,Geometrie,1168,400,0.3425,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,category,Stochastik,593,230,0.3879,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,category,unknown,94,39,0.4149,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,difficulty,A,1172,518,0.4420,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,difficulty,B,1184,415,0.3505,0,1.0000,0,0
Qwen2.5-VL-32B-vLLM,difficulty,C,1201,414,0.3447,0,1.0000,0,0
Qwen2.5-VL-3B-vLLM,overall,ALL,3557,898,0.2525,0,1.0000,0,0
Qwen2.5-VL-3B-vLLM,category,Algebra,593,152,0.2563,0,1.0000,0,0
Qwen2.5-VL-3B-vLLM,category,Arithmetik,1109,283,0.2552,0,1.0000,0,0
Qwen2.5-VL-3B-vLLM,category,Geometrie,1168,287,0.2457,0,1.0000,0,0
Qwen2.5-VL-3B-vLLM,category,Stochastik,593,152,0.2563,0,1.0000,0,0
Qwen2.5-VL-3B-vLLM,category,unknown,94,24,0.2553,0,1.0000,0,0
Qwen2.5-VL-3B-vLLM,difficulty,A,1172,307,0.2619,0,1.0000,0,0
Qwen2.5-VL-3B-vLLM,difficulty,B,1184,289,0.2441,0,1.0000,0,0
Qwen2.5-VL-3B-vLLM,difficulty,C,1201,302,0.2515,0,1.0000,0,0
Qwen2.5-VL-72B-AWQ-vLLM,overall,ALL,3557,1453,0.4085,0,1.0000,0,0
