modalität,,Text-only,Text-only,Text-only,Text-only,Visuell,Visuell,Visuell,Visuell
difficulty,,A,B,C,ALL,A,B,C,ALL
model,math_category,,,,,,,,
Qwen2.5-VL-3B-Instruct_CoT-Voting_n5,Arithmetik,47.8,33.6,19.9,37.3,27.4,20.8,17.2,22.0
Qwen2.5-VL-3B-Instruct_CoT-Voting_n5,Geometrie,46.3,25.3,17.7,27.9,25.9,27.1,20.2,24.4
Qwen2.5-VL-3B-Instruct_CoT-Voting_n5,Stochastik,30.0,25.8,26.1,26.7,24.1,23.9,13.7,20.5
Qwen2.5-VL-3B-Instruct_CoT-Voting_n5,unknown,33.3,25.0,25.0,27.1,25.9,27.3,20.0,25.6
Qwen2.5-VL-72B-Instruct-AWQ_CoT-Voting_n5,Algebra,86.5,77.8,55.5,69.7,47.1,45.5,20.9,35.6
Qwen2.5-VL-72B-Instruct-AWQ_CoT-Voting_n5,Arithmetik,88.5,76.5,61.7,79.0,51.6,50.9,25.9,42.8
Qwen2.5-VL-72B-Instruct-AWQ_CoT-Voting_n5,Geometrie,89.6,71.6,47.9,67.4,39.5,33.4,29.8,34.3
Qwen2.5-VL-72B-Instruct-AWQ_CoT-Voting_n5,Stochastik,76.2,63.9,50.7,60.0,53.7,34.8,27.5,39.1
Qwen2.5-VL-72B-Instruct-AWQ_CoT-Voting_n5,unknown,66.7,43.8,45.0,50.0,37.0,27.3,40.0,34.9
Qwen2.5-VL-7B-Instruct_CoT-Voting_n5,Algebra,51.4,38.6,30.9,38.0,41.2,15.9,11.6,18.3
Qwen2.5-VL-7B-Instruct_CoT-Voting_n5,Arithmetik,61.0,41.0,31.6,48.3,32.3,37.7,19.0,29.5
Qwen2.5-VL-7B-Instruct_CoT-Voting_n5,Geometrie,44.8,41.1,33.3,39.1,28.8,22.7,25.5,25.7
Qwen2.5-VL-7B-Instruct_CoT-Voting_n5,Stochastik,32.5,27.7,34.3,31.7,29.6,15.2,23.5,23.2
Qwen2.5-VL-7B-Instruct_CoT-Voting_n5,unknown,33.3,31.2,25.0,29.2,22.2,9.1,20.0,18.6
Qwen3-VL-2B-Instruct_CoT-Voting_n5,Algebra,73.9,55.1,25.5,46.0,29.4,13.6,7.0,13.5
Qwen3-VL-2B-Instruct_CoT-Voting_n5,Arithmetik,64.4,41.4,26.5,48.9,33.9,32.1,10.3,25.4
Qwen3-VL-2B-Instruct_CoT-Voting_n5,Geometrie,49.3,35.8,16.7,32.2,25.2,15.7,17.5,19.6
Qwen3-VL-2B-Instruct_CoT-Voting_n5,Stochastik,33.8,23.2,17.9,22.6,18.5,13.0,7.8,13.2
Qwen3-VL-2B-Instruct_CoT-Voting_n5,unknown,16.7,43.8,25.0,29.2,14.8,0.0,0.0,9.3
